90.1	0.9994792	0.97314817
90.2	0.62083334	0.74444443
90.3	0.6265625	0.75185186
90.4	0.625	0.7509259
90.5	0.625	0.7490741
90.6	0.62395835	0.7546296
90.7	0.628125	0.7648148
90.8	0.628125	0.7648148
90.9	0.628125	0.75555557
91.1	0.6296875	0.75555557
91.1	0.6296875	0.75555557
91.2	0.62604165	0.75277776
91.3	0.62864584	0.7490741
91.4	0.6296875	0.75277776
91.5	0.625	0.75185186
91.6	0.6276042	0.7490741
91.7	0.6328125	0.7490741
91.8	0.62916666	0.7462963
91.9	0.62864584	0.74814814
92	0.6276042	0.7398148
92.1	0.63072914	0.74444443
92.2	0.63072914	0.73425925
92.3	0.63177085	0.7398148
92.4	0.63489586	0.7407407
92.5	0.63125	0.74814814
92.6	0.63177085	0.74351853
92.7	0.63072914	0.7407407
92.8	0.6296875	0.7398148
92.9	0.63177085	0.74351853
93	0.6328125	0.75555557
93.1	0.62916666	0.75555557
93.2	0.63385415	0.76203704
93.3	0.63125	0.76296294
93.4	0.6333333	0.77037036
93.5	0.6359375	0.76296294
93.6	0.6380208	0.7731481
93.7	0.6333333	0.76203704
93.8	0.6375	0.78425926
93.9	0.6375	0.7740741
94	0.6380208	0.775
94.1	0.63489586	0.7777778
94.2	0.63645834	0.7907407
94.3	0.6411458	0.7824074
94.4	0.6421875	0.7962963
94.5	0.6411458	0.78425926
94.6	0.64166665	0.78518516
94.7	0.9994792	0.98333335
94.8	0.64166665	0.79907405
94.9	0.64270836	0.79351854
95	0.64166665	0.79814816
95.1	0.63697916	0.7814815
95.2	0.6375	0.78055555
95.3	0.640625	0.7972222
95.4	0.63958335	0.7925926
95.5	0.640625	0.79351854
95.6	0.6432292	0.78518516
95.7	0.9994792	0.9824074
95.8	0.63958335	0.7962963
95.9	0.64166665	0.79444444
96	0.64166665	0.78425926
96.1	0.64270836	0.78518516
96.2	0.640625	0.79351854
96.3	0.64427084	0.7962963
96.4	0.6458333	0.8074074
96.5	0.64479166	0.81296295
96.6	0.6479167	0.8277778
96.7	0.6489583	0.8185185
96.8	0.64947915	0.8194444
96.9	0.6510417	0.8148148
97	0.65052086	0.8203704
97.1	0.65416664	0.82314813
97.2	0.653125	0.81574076
97.3	0.6536458	0.8138889
97.4	0.65833336	0.83148146
97.5	0.65729165	0.8296296
97.6	0.65625	0.81574076
97.7	0.6546875	0.81296295
97.8	0.659375	0.82222223
97.9	0.6546875	0.8009259
98	0.653125	0.8009259
98.1	0.6546875	0.80185187
98.2	0.65208334	0.79444444
98.3	0.653125	0.79444444
98.4	0.6510417	0.7916667
98.5	0.65052086	0.8074074
98.6	0.09427083	0.34166667
98.7	0.65	0.8037037
98.8	0.65208334	0.79444444
98.9	0.6489583	0.80925924
99	0.6515625	0.80185187
99.1	0.65052086	0.8
99.2	0.6375	0.8055556
99.3	0.65	0.79351854
99.4	0.6536458	0.79814816
99.5	0.65	0.79444444
99.6	0.6515625	0.8
99.7	0.9994792	0.9990741
99.8	0.65416664	0.80185187
99.9	0.65729165	0.7916667
100	0.6578125	0.8064815
