Frecuencia,Amplitud,Fase,Escala
50000.0,0.0147515,64.188,0.02
50001.02040816326,0.0148535,64.17,0.02
50002.04081632653,0.0149603,64.164,0.02
50003.06122448979,0.0150681,64.152,0.02
50004.08163265306,0.0151787,64.152,0.02
50005.102040816324,0.0152903,64.128,0.02
50006.12244897959,0.0154086,64.122,0.02
50007.142857142855,0.0155249,64.11,0.02
50008.163265306124,0.015649,64.092,0.02
50009.183673469386,0.015772,64.074,0.02
50010.204081632655,0.0158988,64.074,0.02
50011.22448979592,0.0160285,64.05,0.02
50012.244897959186,0.016163,64.044,0.02
50013.26530612245,0.0162984,64.026,0.02
50014.28571428572,0.0164376,64.008,0.02
50015.30612244898,0.0165817,64.002,0.02
50016.32653061225,0.0167276,63.978,0.02
50017.34693877551,0.0168792,63.96,0.02
50018.36734693877,0.0170194,63.954,0.05
50019.38775510204,0.0171758,63.936,0.05
50020.4081632653,0.0173417,63.906,0.05
50021.42857142857,0.0175077,63.894,0.05
50022.448979591834,0.0176793,63.882,0.05
50023.4693877551,0.0178567,63.846,0.05
50024.489795918365,0.0180379,63.84,0.05
50025.510204081635,0.0182248,63.822,0.05
50026.5306122449,0.0184175,63.798,0.05
50027.551020408166,0.0186158,63.774,0.05
50028.57142857143,0.0188199,63.762,0.05
50029.5918367347,0.0190316,63.72,0.05
50030.61224489796,0.0192453,63.708,0.05
50031.63265306123,0.0194722,63.69,0.05
50032.65306122449,0.0196992,63.666,0.05
50033.67346938775,0.0199376,63.63,0.05
50034.69387755102,0.0201856,63.612,0.05
50035.71428571428,0.0204374,63.576,0.05
50036.73469387755,0.0207006,63.54,0.05
50037.755102040814,0.0209752,63.528,0.05
50038.77551020408,0.0212537,63.498,0.05
50039.795918367345,0.0215474,63.45,0.05
50040.816326530614,0.0218488,63.42,0.05
50041.836734693876,0.0221597,63.378,0.05
50042.857142857145,0.0224859,63.348,0.05
50043.87755102041,0.0228215,63.318,0.05
50044.897959183676,0.0231744,63.276,0.05
50045.91836734694,0.0235425,63.234,0.05
50046.93877551021,0.0239202,63.198,0.05
50047.95918367347,0.0243169,63.144,0.05
50048.97959183674,0.0247308,63.096,0.05
50050.0,0.025158,63.06,0.05
50050.0,0.0251619,63.054,0.05
50050.286532951286,0.0252839,63.036,0.05
50050.57306590258,0.0254098,63.024,0.05
50050.859598853865,0.0255395,63.0,0.05
50051.14613180516,0.0256654,62.994,0.05
50051.432664756445,0.0257989,62.988,0.05
50051.71919770774,0.0259324,62.976,0.05
50052.005730659024,0.026064,62.958,0.05
50052.29226361032,0.0261995,62.94,0.05
50052.578796561604,0.0263368,62.922,0.05
50052.8653295129,0.0264741,62.916,0.05
50053.15186246418,0.0266191,62.892,0.05
50053.43839541548,0.0267602,62.88,0.05
50053.72492836676,0.026909,62.856,0.05
50054.01146131805,0.027054,62.856,0.05
50054.29799426934,0.0272027,62.838,0.05
50054.58452722063,0.0273534,62.814,0.05
50054.87106017192,0.0275098,62.79,0.05
50055.15759312321,0.0276624,62.778,0.05
50055.4441260745,0.0278188,62.754,0.05
50055.73065902579,0.027979,62.742,0.05
50056.01719197708,0.0281392,62.724,0.05
50056.303724928366,0.0283033,62.694,0.05
50056.59025787966,0.0284711,62.676,0.05
50056.876790830946,0.0286409,62.658,0.05
50057.16332378223,0.0288106,62.634,0.05
50057.449856733525,0.0289861,62.628,0.05
50057.73638968481,0.0291635,62.604,0.05
50058.022922636104,0.029339,62.586,0.05
50058.30945558739,0.029524,62.568,0.05
