Frecuencia,Amplitud,Fase,Escala
50050.85085085085,0.0256349,62.97,1.0
50051.251251251255,0.025818,63.006,1.0
50051.65165165165,0.0260011,62.976,1.0
50052.05205205205,0.0261842,62.916,1.0
50052.45245245245,0.0263673,62.886,1.0
50052.852852852855,0.0265504,62.856,1.0
50053.25325325326,0.0267946,62.862,1.0
50053.65365365365,0.0269777,62.832,1.0
50054.05405405405,0.0271608,62.808,1.0
50054.454454454455,0.0274049,62.814,1.0
50054.85485485486,0.027588,62.784,1.0
50055.25525525526,0.0278322,62.73,1.0
50055.65565565565,0.0280763,62.736,1.0
50056.056056056055,0.0283204,62.682,1.0
50056.45645645646,0.0285035,62.688,1.0
50056.85685685686,0.0287477,62.634,1.0
50057.25725725726,0.0289918,62.64,1.0
50057.657657657655,0.029236,62.586,1.0
50058.05805805806,0.0294801,62.568,1.0
50058.45845845846,0.0297242,62.514,1.0
50058.85885885886,0.0300294,62.496,1.0
50059.25925925926,0.0302736,62.478,1.0
50059.65965965966,0.0305177,62.46,1.0
50060.06006006006,0.0308229,62.382,1.0
50060.46046046046,0.031128,62.394,1.0
50060.86086086086,0.0313723,62.376,1.0
50061.261261261265,0.0316775,62.334,1.0
50061.66166166166,0.0319827,62.34,1.0
50062.06206206206,0.0322878,62.298,1.0
50062.46246246246,0.032654,62.208,1.0
50062.862862862865,0.0329592,62.166,1.0
50063.26326326327,0.0333254,62.154,1.0
50063.66366366366,0.0336306,62.064,1.0
50064.06406406406,0.0339968,62.052,1.0
50064.464464464465,0.034363,62.07,1.0
50064.86486486487,0.0347292,62.01,1.0
50065.26526526527,0.0350955,61.974,1.0
50065.66566566566,0.0354617,61.92,1.0
50066.066066066065,0.0358889,61.866,1.0
50066.46646646647,0.0362551,61.836,1.0
50066.86686686687,0.0366824,61.782,1.0
50067.26726726727,0.0371096,61.71,1.0
50067.667667667665,0.0375979,61.686,1.0
50068.06806806807,0.0380251,61.638,1.0
50068.46846846847,0.0384524,61.572,1.0
50068.86886886887,0.0389407,61.506,1.0
50069.26926926927,0.0394289,61.446,1.0
50069.66966966967,0.0399172,61.404,1.0
50070.07007007007,0.0405276,61.35,1.0
50070.47047047047,0.0410159,61.272,1.0
50070.87087087087,0.0415652,61.218,1.0
50071.271271271275,0.0421755,61.146,1.0
50071.67167167167,0.0427859,61.08,1.0
50072.07207207207,0.0433962,61.014,1.0
50072.47247247247,0.0440066,60.972,1.0
50072.872872872875,0.0446169,60.894,1.0
50073.27327327328,0.0453494,60.798,1.0
50073.67367367367,0.0460207,60.708,1.0
50074.07407407407,0.0467532,60.642,1.0
50074.474474474475,0.0474856,60.594,1.0
50074.87487487488,0.048279,60.48,1.0
50075.27527527528,0.0490725,60.39,1.0
50075.67567567567,0.049927,60.3,1.0
50076.076076076075,0.0507815,60.174,1.0
50076.47647647648,0.051697,60.114,1.0
50076.87687687688,0.0526125,59.976,1.0
50077.27727727728,0.0535891,59.88,1.0
50077.677677677675,0.0546267,59.772,1.0
50078.07807807808,0.0556643,59.61,1.0
50078.47847847848,0.0567629,59.52,1.0
50078.87887887888,0.0579226,59.394,1.0
50079.27927927928,0.0590823,59.256,1.0
50079.67967967968,0.060364,59.088,1.0
50080.08008008008,0.0617068,58.962,1.0
50080.48048048048,0.0631108,58.8,1.0
50080.88088088088,0.0645146,58.638,1.0
50081.281281281284,0.0660405,58.464,1.0
50081.68168168168,0.0676885,58.278,1.0
50082.08208208208,0.0693974,58.086,1.0
50082.48248248248,0.0711675,57.87,1.0
50082.882882882885,0.0730596,57.666,1.0
50083.28328328329,0.0750737,57.432,1.0
50083.68368368368,0.0772099,57.174,1.0
50084.08408408408,0.0794072,56.928,1.0
50084.484484484485,0.0818486,56.658,1.0
50084.88488488489,0.0843511,56.37,1.0
50085.28528528529,0.0870976,56.046,1.0
50085.68568568568,0.0900273,55.71,1.0
50086.086086086085,0.0931401,55.362,1.0
50086.48648648649,0.0964971,54.984,1.0
50086.88688688689,0.100159,54.516,1.0
50087.28728728729,0.104065,54.054,1.0
50087.687687687685,0.108277,53.586,1.0
50088.08808808809,0.112854,53.052,1.0
50088.48848848849,0.11792,52.47,1.0
50088.88888888889,0.123475,51.84,1.0
50089.28928928929,0.129518,51.12,1.0
50089.68968968969,0.136292,50.34,1.0
50090.09009009009,0.143678,49.458,1.0
50090.49049049049,0.151978,48.45,1.0
50090.89089089089,0.161256,47.352,1.0
50091.291291291294,0.171693,46.092,1.0
50091.69169169169,0.183473,44.64,1.0
50092.09209209209,0.197022,42.978,1.0
50092.49249249249,0.212464,41.064,1.0
50092.892892892894,0.230287,38.778,1.0
50093.293293293296,0.25104,36.084,1.0
50093.69369369369,0.275148,32.856,1.0
50094.09409409409,0.303164,28.938,1.0
50094.494494494495,0.335634,24.132,1.0
50094.8948948949,0.372438,18.198,1.0
50095.2952952953,0.412111,10.866,1.0
50095.69569569569,0.451296,1.932,1.0
50096.096096096095,0.483278,-8.622,1.0
50096.4964964965,0.499575,-20.358,1.0
50096.8968968969,0.49457,-32.418,1.0
50097.2972972973,0.469728,-43.812,1.0
50097.697697697695,0.432741,-53.82,1.0
50098.0980980981,0.391665,-62.184,1.0
50098.4984984985,0.351992,-69.024,1.0
50098.8988988989,0.316164,-74.562,1.0
50099.2992992993,0.284853,-79.062,1.0
50099.6996996997,0.257936,-82.764,1.0
50100.1001001001,0.234803,-85.8,1.0
50100.5005005005,0.214967,-88.356,1.0
50100.9009009009,0.197816,-90.522,1.0
50101.301301301304,0.182984,-92.37,1.0
50101.7017017017,0.169923,-93.96,1.0
50102.1021021021,0.158509,-95.358,1.0
50102.5025025025,0.148377,-96.576,1.0
50102.902902902904,0.139405,-97.65,1.0
50103.303303303306,0.13141,-98.604,1.0
50103.7037037037,0.124207,-99.468,1.0
50104.1041041041,0.117676,-100.254,1.0
50104.504504504504,0.111817,-100.944,1.0
50104.904904904906,0.106446,-101.598,1.0
50105.30530530531,0.101502,-102.168,1.0
50105.7057057057,0.0970464,-102.714,1.0
50106.106106106105,0.092896,-103.164,1.0
50106.50650650651,0.0890508,-103.608,1.0
50106.90690690691,0.0855107,-104.022,1.0
50107.30730730731,0.0822148,-104.406,1.0
50107.707707707705,0.0791631,-104.754,1.0
50108.10810810811,0.0762944,-105.084,1.0
50108.50850850851,0.0736089,-105.408,1.0
50108.90890890891,0.0711064,-105.69,1.0
50109.30930930931,0.0687261,-105.948,1.0
50109.70970970971,0.0665288,-106.23,1.0
50110.11011011011,0.0644536,-106.458,1.0
50110.51051051051,0.0624392,-106.674,1.0
50110.91091091091,0.0606081,-106.908,1.0
50111.311311311314,0.0588381,-107.124,1.0
50111.71171171171,0.0571902,-107.328,1.0
50112.11211211211,0.0555422,-107.478,1.0
50112.51251251251,0.0540774,-107.676,1.0
50112.912912912914,0.0526125,-107.838,1.0
50113.313313313316,0.0512698,-108.012,1.0
50113.71371371371,0.049988,-108.144,1.0
50114.11411411411,0.0487063,-108.288,1.0
50114.514514514514,0.0475466,-108.42,1.0
50114.914914914916,0.046387,-108.588,1.0
50115.31531531532,0.0452883,-108.702,1.0
50115.71571571571,0.0442507,-108.828,1.0
50116.116116116114,0.0432742,-108.912,1.0
50116.516516516516,0.0422976,-109.032,1.0
50116.91691691692,0.0413821,-109.134,1.0
50117.31731731732,0.0404665,-109.272,1.0
50117.717717717715,0.0396121,-109.35,1.0
50118.11811811812,0.0388186,-109.464,1.0
50118.51851851852,0.0380251,-109.518,1.0
50118.91891891892,0.0372317,-109.602,1.0
50119.31931931932,0.0364993,-109.722,1.0
50119.71971971972,0.0358279,-109.8,1.0
50120.12012012012,0.0350955,-109.86,1.0
50120.52052052052,0.0344241,-109.926,1.0
50120.92092092092,0.0337527,-110.01,1.0
50121.321321321324,0.0331423,-110.034,1.0
50121.72172172172,0.032532,-110.124,1.0
50122.12212212212,0.0319827,-110.172,1.0
50122.52252252252,0.0313723,-110.298,1.0
50122.922922922924,0.0308229,-110.352,1.0
50123.323323323326,0.0302736,-110.388,1.0
50123.72372372372,0.0297853,-110.418,1.0
50124.12412412412,0.029297,-110.52,1.0
50124.524524524524,0.0287477,-110.598,1.0
50124.924924924926,0.0283204,-110.652,1.0
50125.32532532533,0.0278322,-110.73,1.0
50125.72572572572,0.0273439,-110.73,1.0
50126.126126126124,0.0269777,-110.766,1.0
50126.526526526526,0.0265504,-110.802,1.0
50126.92692692693,0.0261232,-110.838,1.0
50127.32732732733,0.0256959,-110.946,1.0
50127.727727727724,0.0253297,-110.964,1.0
50128.128128128126,0.0249635,-110.976,1.0
50128.52852852853,0.0245363,-111.066,1.0
50128.92892892893,0.0242311,-111.054,1.0
50129.32932932933,0.0238649,-111.12,1.0
50129.72972972973,0.0234987,-111.186,1.0
50130.13013013013,0.0231324,-111.174,1.0
50130.53053053053,0.0228273,-111.21,1.0
50130.93093093093,0.0224611,-111.282,1.0
50131.331331331334,0.0221559,-111.324,1.0
50131.73173173173,0.0218507,-111.33,1.0
50132.13213213213,0.0215455,-111.372,1.0
50132.53253253253,0.0212404,-111.384,1.0
50132.932932932934,0.0209962,-111.516,1.0
50133.333333333336,0.020691,-111.528,1.0
50133.73373373373,0.0204469,-111.504,1.0
50134.13413413413,0.0201417,-111.522,1.0
50134.534534534534,0.0198976,-111.498,1.0
50134.934934934936,0.0195924,-111.6,1.0
50135.33533533534,0.0193483,-111.672,1.0
50135.73573573573,0.0191652,-111.654,1.0
50136.136136136134,0.01886,-111.636,1.0
50136.536536536536,0.0186158,-111.708,1.0
50136.93693693694,0.0183717,-111.744,1.0
50137.33733733734,0.0181886,-111.726,1.0
50137.737737737734,0.0179445,-111.804,1.0
50138.138138138136,0.0177003,-111.84,1.0
50138.53853853854,0.0175172,-111.882,1.0
50138.93893893894,0.0172731,-111.924,1.0
50139.33933933934,0.01709,-111.864,1.0
50139.739739739736,0.0169069,-111.864,1.0
