Frecuencias,Tiempo,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2
150200.0,-1.1740000000000001e-05,5.04,-0.024,0.08,0.0008
150200.0,-1.1730000000000001e-05,5.04,-0.024,0.08,0.0008
150200.0,-1.1720000000000001e-05,5.04,-0.023200000000000002,0.08,0.0008
150200.0,-1.1710000000000001e-05,5.04,-0.023200000000000002,0.08,0.0008
150200.0,-1.17e-05,5.04,-0.0224,0.08,0.0008
150200.0,-1.169e-05,5.04,-0.0224,0.08,0.0008
150200.0,-1.168e-05,5.04,-0.0224,0.08,0.0008
150200.0,-1.167e-05,5.04,-0.0216,0.08,0.0008
150200.0,-1.166e-05,5.04,-0.0216,0.08,0.0008
150200.0,-1.165e-05,5.04,-0.020800000000000003,0.08,0.0008
150200.0,-1.164e-05,5.04,-0.0216,0.08,0.0008
150200.0,-1.163e-05,5.04,-0.0216,0.08,0.0008
150200.0,-1.162e-05,5.04,-0.0216,0.08,0.0008
150200.0,-1.161e-05,5.04,-0.02,0.08,0.0008
150200.0,-1.16e-05,4.96,-0.0184,0.08,0.0008
150200.0,-1.159e-05,4.96,-0.019200000000000002,0.08,0.0008
150200.0,-1.1580000000000001e-05,5.04,-0.019200000000000002,0.08,0.0008
150200.0,-1.1570000000000001e-05,4.96,-0.019200000000000002,0.08,0.0008
150200.0,-1.1560000000000001e-05,4.96,-0.0184,0.08,0.0008
150200.0,-1.1550000000000001e-05,4.96,-0.0176,0.08,0.0008
150200.0,-1.1540000000000001e-05,4.96,-0.0176,0.08,0.0008
150200.0,-1.153e-05,4.96,-0.016800000000000002,0.08,0.0008
150200.0,-1.1520000000000002e-05,4.96,-0.016800000000000002,0.08,0.0008
150200.0,-1.151e-05,4.96,-0.016800000000000002,0.08,0.0008
150200.0,-1.15e-05,4.88,-0.016800000000000002,0.08,0.0008
150200.0,-1.149e-05,4.96,-0.016800000000000002,0.08,0.0008
150200.0,-1.148e-05,4.96,-0.016800000000000002,0.08,0.0008
150200.0,-1.147e-05,4.88,-0.016800000000000002,0.08,0.0008
150200.0,-1.146e-05,4.88,-0.016,0.08,0.0008
150200.0,-1.145e-05,4.88,-0.014400000000000001,0.08,0.0008
150200.0,-1.144e-05,4.88,-0.013600000000000001,0.08,0.0008
150200.0,-1.143e-05,4.88,-0.014400000000000001,0.08,0.0008
150200.0,-1.142e-05,4.8,-0.013600000000000001,0.08,0.0008
150200.0,-1.1410000000000001e-05,4.8,-0.0128,0.08,0.0008
150200.0,-1.1400000000000001e-05,4.8,-0.0128,0.08,0.0008
150200.0,-1.1390000000000001e-05,4.8,-0.0128,0.08,0.0008
150200.0,-1.1380000000000001e-05,4.8,-0.0128,0.08,0.0008
150200.0,-1.1370000000000001e-05,4.8,-0.0112,0.08,0.0008
150200.0,-1.136e-05,4.72,-0.0112,0.08,0.0008
150200.0,-1.1350000000000001e-05,4.72,-0.0112,0.08,0.0008
150200.0,-1.134e-05,4.72,-0.010400000000000001,0.08,0.0008
150200.0,-1.133e-05,4.72,-0.0112,0.08,0.0008
150200.0,-1.132e-05,4.64,-0.0112,0.08,0.0008
150200.0,-1.131e-05,4.64,-0.009600000000000001,0.08,0.0008
150200.0,-1.13e-05,4.64,-0.009600000000000001,0.08,0.0008
150200.0,-1.129e-05,4.64,-0.0088,0.08,0.0008
150200.0,-1.128e-05,4.64,-0.0088,0.08,0.0008
150200.0,-1.127e-05,4.5600000000000005,-0.0088,0.08,0.0008
150200.0,-1.126e-05,4.5600000000000005,-0.0064,0.08,0.0008
150200.0,-1.125e-05,4.5600000000000005,-0.007200000000000001,0.08,0.0008
150200.0,-1.124e-05,4.5600000000000005,-0.007200000000000001,0.08,0.0008
150200.0,-1.1230000000000001e-05,4.5600000000000005,-0.007200000000000001,0.08,0.0008
150200.0,-1.1220000000000001e-05,4.48,-0.0064,0.08,0.0008
150200.0,-1.1210000000000001e-05,4.48,-0.0056,0.08,0.0008
150200.0,-1.1200000000000001e-05,4.48,-0.0056,0.08,0.0008
150200.0,-1.1190000000000001e-05,4.4,-0.0048000000000000004,0.08,0.0008
150200.0,-1.1180000000000001e-05,4.4,-0.0056,0.08,0.0008
150200.0,-1.117e-05,4.4,-0.0048000000000000004,0.08,0.0008
150200.0,-1.116e-05,4.32,-0.004,0.08,0.0008
150200.0,-1.115e-05,4.32,-0.0032,0.08,0.0008
150200.0,-1.114e-05,4.32,-0.0024000000000000002,0.08,0.0008
150200.0,-1.113e-05,4.32,-0.0024000000000000002,0.08,0.0008
150200.0,-1.112e-05,4.24,-0.0024000000000000002,0.08,0.0008
150200.0,-1.111e-05,4.24,-0.0016,0.08,0.0008
150200.0,-1.11e-05,4.24,-0.0016,0.08,0.0008
